2026-06-27 11:20:11.425 | INFO     | source=mudafy run=cli-run-mudafy-c48d503e target=-:- | inmob.cli.bronze.runner:_log_traffic_summary:379 - Traffic summary phase=search logical_requests=1 request_attempts=1 responses_returned=1 retries=0 transport_errors=0 retryable_statuses=0 politeness_waits=0 politeness_wait_total_seconds=0.0 retry_waits=0 retry_wait_total_seconds=0.0
2026-06-27 11:20:11.425 | DEBUG    | source=mudafy run=- target=-:- | inmob.ingestion.sources.base:close:232 - Closing HTTP client
2026-06-27 11:20:11.427 | INFO     | source=mudafy run=cli-run-mudafy-c48d503e target=-:- | inmob.cli.bronze.runner:scrape_source:165 - Unique listings discovered total=50 selected_for_detail_fetch=15
2026-06-27 11:20:11.427 | INFO     | source=mudafy run=cli-run-mudafy-c48d503e target=listing_detail:mudafy-listing-260899 | inmob.cli.bronze.runner:_fetch_and_store_listing_details:262 - Fetching listing detail index=1 total=15 uri=https://mudafy.com.ar/propiedades/alvarez-jonte-1604-casa-en-venta-260899
2026-06-27 11:20:11.427 | INFO     | source=mudafy run=- target=listing_detail:mudafy-listing-260899 | inmob.ingestion.sources.browser:fetch_rendered_html:126 - Fetching target via Playwright render uri=https://mudafy.com.ar/propiedades/alvarez-jonte-1604-casa-en-venta-260899 reveal_enabled=True
2026-06-27 11:20:11.581 | DEBUG    | source=mudafy run=- target=listing_detail:mudafy-listing-260899 | inmob.ingestion.sources.browser:fetch_rendered_html:132 - Launching Chromium for browser capture
2026-06-27 11:20:11.606 | INFO     | source=cabaprop run=- target=api_endpoint:cabaprop-api-search-cabaprop-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:170 - Fetched target status_code=201 media_type=application/json payload_bytes=125444 final_uri=https://cabaprop.com.ar/api/v1/properties/find-properties?offset=0&limit=12&orderBy=created_at&sort=desc elapsed_seconds=1.623
2026-06-27 11:20:11.607 | INFO     | source=cabaprop run=- target=-:- | inmob.ingestion.sources.cabaprop.source:discover_listing_targets:266 - CabaProp API discovery completed result_items=12 discovered=12 skipped=0 duplicates=0
2026-06-27 11:20:11.607 | INFO     | source=cabaprop run=cli-run-cabaprop-9231450f target=api_endpoint:cabaprop-api-search-cabaprop-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:220 - Discovered listings on search page count=12 elapsed_seconds=1.701
2026-06-27 11:20:11.607 | INFO     | source=cabaprop run=cli-run-cabaprop-9231450f target=api_endpoint:cabaprop-api-search-cabaprop-caba-newest-page-2 | inmob.cli.bronze.runner:_discover_listing_targets:209 - Fetching search page uri=https://cabaprop.com.ar/api/v1/properties/find-properties?offset=12&limit=12&orderBy=created_at&sort=desc
